,country,year,pop,avh,rgdpe,gdp per capita,vacation days,productivity,gdp per vac days
476,Spain,2006,44.728565,1713.740634,1591544.375,35582.2811440519,36.0,20.762932522058584,44209.56597222222
477,Spain,2007,45.429076,1701.307798,1710028.75,37641.72421204428,36.0,22.12516997588245,47500.79861111111
478,Spain,2008,46.068811,1710.126202,1737033.875,37705.20309282564,36.0,22.04819916140063,48250.94097222222
479,Spain,2009,46.583565,1715.804559,1679792.875,36059.775051565935,36.0,21.01624853624482,46660.913194444445
480,Spain,2010,46.931015,1705.775535,1660598.375,35383.815478953526,36.0,20.743535566626313,46127.73263888889
481,Spain,2011,47.08424,1710.691659,1648634.0,35014.5611355307,36.0,20.46807263677124,45795.38888888889
482,Spain,2012,47.06306,1696.726618,1627157.25,34573.979040036924,36.0,20.376870777680537,45198.8125
483,Spain,2013,46.930555,1689.82441,1606687.625,34235.42775064135,36.0,20.259754533100484,44630.211805555555
484,Spain,2014,46.777925,1690.563997,1609758.125,34412.77322583248,36.0,20.355794449012205,44715.50347222222
485,Spain,2015,46.671926,1694.237188,1705106.375,36533.87638213173,36.0,21.563613784950004,47364.06597222222
486,Spain,2016,46.63414,1701.450062,1779649.0,38161.93458268985,36.0,22.429065321982897,49434.694444444445
487,Spain,2017,46.647428,1689.47622,1853309.375,39730.151360113574,36.0,23.516253670687103,51480.81597222222
488,Spain,2018,46.692858,1695.501017,1898860.625,40667.04644637516,36.0,23.985268093988505,52746.12847222222
489,Spain,2019,46.736776,1685.951506,1932678.625,41352.41645679625,36.0,24.527642882746267,53685.51736111111
490,France,1950,42.54991347,2350.959619,325814.25,7657.22473747724,28.0,3.257063488284968,11636.223214285714
491,France,1951,42.8943363,2360.515783,340745.4688,7943.833573198333,28.0,3.365295682582748,12169.481028571428
492,France,1952,43.21630026,2338.82752,352123.9063,8147.941961286253,28.0,3.4837720574137307,12575.85379642857
493,France,1953,43.52799491,2313.312211,368956.2813,8476.298576648589,28.0,3.6641394690881133,13177.01004642857
494,France,1954,43.85478812,2316.427557,389500.4063,8881.593618334417,28.0,3.834177154167924,13910.72879642857
495,France,1955,44.25137066,2292.047703,411099.7188,9290.101361122448,28.0,4.053188486855174,14682.132814285713
496,France,1956,44.69117212,2236.061323,432224.9375,9671.37170489589,28.0,4.32518178522955,15436.604910714286
497,France,1957,45.18647369,2199.605168,456653.2188,10105.971577531169,28.0,4.594448005739168,16309.043528571428
498,France,1958,45.6884064,2179.393316,471060.0,10310.274249355303,28.0,4.730800160605477,16823.571428571428
499,France,1959,46.16360073,2179.248372,487047.125,10550.457878028701,28.0,4.841328787294696,17394.540178571428
500,France,1960,46.61930245,2188.47715,528044.25,11326.72996483241,28.0,5.175621762755169,18858.723214285714
501,France,1961,47.16372492,2165.189576,554088.1875,11748.18546329525,28.0,5.425938492184598,19788.863839285714
502,France,1962,48.12511968,2177.768891,590606.125,12272.304545466848,28.0,5.635264878740913,21093.07589285714
503,France,1963,48.83597374,2159.342325,628363.0625,12866.807281152413,28.0,5.958669513483654,22441.537946428572
504,France,1964,49.3943495,2166.152525,671762.75,13599.99183712299,28.0,6.278409151785372,23991.526785714286
505,France,1965,49.83956812,2153.15843,703565.125,14116.597545669101,28.0,6.556227980710691,25127.32589285714
506,France,1966,50.29305564,2144.572022,741323.75,14740.081718367432,28.0,6.873204335017401,26475.848214285714
507,France,1967,50.6887945,2110.471647,778854.875,15365.425094100432,28.0,7.280564567613181,27816.245535714286
508,France,1968,51.07309204,2086.602239,812868.8125,15915.794012693968,28.0,7.627612831625055,29031.02901785714
509,France,1969,51.50928588,2011.949698,871884.9375,16926.752576830717,28.0,8.4131092311388,31138.74776785714
510,France,1970,51.957738,1992.507975,923051.75,17765.43370691003,28.0,8.9161167382078,32966.13392857143
511,France,1971,52.371342,1989.731696,978572.0,18685.25729205106,28.0,9.390842659648248,34949.0
512,France,1972,52.793138,1936.627698,1034177.563,19589.24212839934,28.0,10.11513062042312,36934.912964285715
513,France,1973,53.207734,1920.426943,1111650.75,20892.65350033512,28.0,10.879171205387072,39701.8125
514,France,1974,53.592233,1888.467773,1136920.75,21214.28211435041,28.0,11.233594990424235,40604.3125
515,France,1975,53.93139,1862.60459,1141212.375,21160.448024795947,28.0,11.360676408939778,40757.58482142857
516,France,1976,54.220022,1888.886164,1197934.125,22093.943912453597,28.0,11.696810709686366,42783.361607142855
517,France,1977,54.467702,1850.328211,1243073.5,22822.213061237646,28.0,12.334143167445683,44395.482142857145
518,France,1978,54.691851,1819.027159,1310636.875,23964.024823369025,28.0,13.174088525727738,46808.45982142857
519,France,1979,54.917118,1815.541441,1364233.625,24841.682788233717,28.0,13.682795791513808,48722.62946428572
520,France,1980,55.161527,1806.133784,1376370.0,24951.629783562737,30.0,13.814939958823524,45879.0
521,France,1981,55.430296,1785.587187,1334463.0,24074.614358905823,30.0,13.482743679043784,44482.1
522,France,1982,55.718933,1714.378401,1334384.25,23948.48892745308,30.0,13.969196598302851,44479.475
523,France,1983,56.02377,1696.302622,1321127.625,23581.55520415709,30.0,13.901738344514033,44037.5875
524,France,1984,56.337666,1689.65016,1303934.5,23144.986162543548,30.0,13.698093670788957,43464.48333333333
525,France,1985,56.654696,1654.322053,1296068.25,22876.625266862255,30.0,13.828398905386685,43202.275
526,France,1986,56.976123,1648.351684,1355866.375,23797.09786501268,30.0,14.436905725885547,45195.54583333333
527,France,1987,57.302663,1659.385665,1392626.25,24302.99356244578,30.0,14.645777696558431,46420.875
528,France,1988,57.627105,1667.407559,1469952.75,25508.009642337576,30.0,15.298005280505974,48998.425
529,France,1989,57.940212,1651.266781,1533447.75,26466.03623058887,30.0,16.027716741543816,51114.925
530,France,1990,58.235697,1644.850669,1581529.625,27157.391539419543,36.0,16.510551414329967,43931.37847222222
531,France,1991,58.512369,1637.781728,1592352.75,27213.951122026865,36.0,16.616347988727142,44232.020833333336
532,France,1992,58.773365,1635.152483,1617568.5,27522.13523932142,36.0,16.83154049879605,44932.458333333336
533,France,1993,59.022519,1626.685885,1603544.125,27168.344424608513,36.0,16.701653758192233,44542.89236111111
534,France,1994,59.265653,1623.233565,1643756.5,27735.398444019505,36.0,17.086511172543123,45659.90277777778
535,France,1995,59.508484,1601.211588,1677481.625,28188.94907489157,36.0,17.60476209774443,46596.711805555555
536,France,1996,59.748767,1597.281509,1708607.125,28596.525263860258,36.0,17.903246924684872,47461.30902777778
537,France,1997,59.988873,1595.645328,1814682.125,30250.31200369442,36.0,18.958042537943257,50407.836805555555
538,France,1998,60.244337,1585.289681,1943271.875,32256.50694769867,36.0,20.34738971324867,53979.774305555555
539,France,1999,60.535179,1578.30451,2030947.0,33549.86362557877,36.0,21.256901575716064,56415.194444444445
540,France,2000,60.874357,1558.338802,2135621.25,35082.44448479349,36.0,22.51271959587225,59322.8125
541,France,2001,61.269223,1537.956604,2198350.5,35880.17592454208,36.0,23.329771354551227,61065.291666666664
542,France,2002,61.712083,1503.886735,2213269.5,35864.44327280283,36.0,23.847835370928273,61479.708333333336
543,France,2003,62.182111,1507.256771,2144512.5,34487.61171842494,36.0,22.881046137576075,59569.791666666664
544,France,2004,62.649664,1530.856012,2197558.25,35076.935927381826,36.0,22.91328227633588,61043.28472222222
545,France,2005,63.092888,1532.075909,2312443.0,36651.405147280624,36.0,23.922708354054947,64234.52777777778
546,France,2006,63.503047,1515.0112,2413424.25,38004.85746770545,36.0,25.085529049359803,67039.5625
547,France,2007,63.884679,1536.815501,2537276.0,39716.5022931398,36.0,25.843376948824645,70479.88888888889
548,France,2008,64.245428,1542.796085,2568201.25,39974.8484826033,36.0,25.910649418457204,71338.92361111111
549,France,2009,64.598474,1531.451173,2519388.0,39000.735528210775,36.0,25.466522352006304,69983.0
550,France,2010,64.952503,1539.803062,2613960.75,40244.18812620662,36.0,26.135932002846364,72610.02083333333
551,France,2011,65.310392,1546.331189,2680534.25,41042.997414561534,36.0,26.54217783779147,74459.28472222222
552,France,2012,65.665818,1540.880619,2716635.75,41370.622231493406,36.0,26.84868751113379,75462.10416666667
553,France,2013,66.007876,1526.242001,2706556.0,41003.53115437316,36.0,26.86568127957917,75182.11111111111
554,France,2014,66.32139,1518.111034,2701232.75,40729.435103817945,36.0,26.829022509968755,75034.24305555556
555,France,2015,66.596315,1519.484356,2772463.25,41630.8807777127,36.0,27.39803184766234,77012.86805555556
556,France,2016,66.828164,1522.069358,2819433.25,42189.2968659142,36.0,27.718380009535807,78317.59027777778
557,France,2017,67.022411,1505.367862,2922007.0,43597.46175051804,36.0,28.961334203452022,81166.86111111111
558,France,2018,67.191027,1495.457921,2965537.75,44135.91936911456,36.0,29.513314115586248,82376.04861111111
559,France,2019,67.351247,1504.912353,3018884.75,44822.99711540604,36.0,29.784456899468378,83857.90972222222
560,United Kingdom,1950,50.07424538,2183.943622,499090.9688,9967.019273331684,24.0,4.563771323091272,20795.457033333332
561,United Kingdom,1951,50.23707585,2192.663847,506361.5313,10079.438795600203,24.0,4.5968919537716095,21098.3971375
562,United Kingdom,1952,50.37692791,2160.85856,512638.2188,10176.051618626778,24.0,4.709263163724504,21359.925783333332
563,United Kingdom,1953,50.53975457,2164.779889,543159.9375,10747.181938679525,24.0,4.964561059205002,22631.6640625
564,United Kingdom,1954,50.71157444,2168.931003,563550.5,11112.857493051639,24.0,5.123656528345378,23481.270833333332
565,United Kingdom,1955,50.89238371,2167.362952,585641.4375,11507.44757481119,24.0,5.30942340053951,24401.7265625
566,United Kingdom,1956,51.1301322,2153.779598,601808.0,11770.124075681542,24.0,5.464869333246206,25075.333333333332
567,United Kingdom,1957,51.37587551,2132.252318,613594.8125,11943.24780665913,24.0,5.601235700783105,25566.450520833332
568,United Kingdom,1958,51.597642,2102.453274,620489.875,12025.547117056241,24.0,5.719769026865061,25853.744791666668
569,United Kingdom,1959,51.90132292,2112.238031,642533.0625,12379.897589323336,24.0,5.861033372011725,26772.2109375
570,United Kingdom,1960,52.31688549,2103.583658,672852.3125,12861.09267014014,24.0,6.113896455331819,28035.513020833332
571,United Kingdom,1961,52.75142526,2066.811106,691273.875,13104.363940744073,24.0,6.340378132622669,28803.078125
572,United Kingdom,1962,53.23591546,2029.04476,702065.5625,13187.817969008398,24.0,6.4995204783005365,29252.731770833332
573,United Kingdom,1963,53.56856519,2020.596682,728127.8125,13592.44567998854,24.0,6.7269464515474935,30338.658854166668
574,United Kingdom,1964,53.93418114,2020.83365,771741.4375,14308.948818500594,24.0,7.0807158315582255,32155.893229166668
575,United Kingdom,1965,54.29280068,1997.567956,793697.0,14618.82588592223,24.0,7.318312171564605,33070.708333333336
576,United Kingdom,1966,54.58549541,1941.609751,812602.1875,14886.778646899158,24.0,7.6672352099756,33858.424479166664
577,United Kingdom,1967,54.90116093,1929.527472,832710.5,15167.44793542201,24.0,7.860705875154292,34696.270833333336
578,United Kingdom,1968,55.15589363,1922.201534,862746.75,15641.96848640561,24.0,8.137527834480238,35947.78125
579,United Kingdom,1969,55.40263153,1912.604783,880816.1875,15898.453975476714,24.0,8.31246168408056,36700.674479166664
580,United Kingdom,1970,55.573453,1870.894407,905981.625,16302.417361037473,24.0,8.713702547851742,37749.234375
581,United Kingdom,1971,55.748531,1830.142408,922798.9375,16552.883474185175,24.0,9.04458767898524,38449.955729166664
582,United Kingdom,1972,55.892418,1851.366498,954602.3125,17079.280994785375,24.0,9.225229587569956,39775.096354166664
583,United Kingdom,1973,56.006296,1860.252353,1001854.875,17888.254474104127,24.0,9.616036472286149,41743.953125
584,United Kingdom,1974,56.092066,1845.297003,938920.0625,16738.91032111386,24.0,9.071119876041907,39121.669270833336
585,United Kingdom,1975,56.152333,1814.079593,936961.4375,16686.06427269905,24.0,9.19808829617271,39040.059895833336
586,United Kingdom,1976,56.188348,1807.024127,979787.5,17437.55662650911,24.0,9.649874822346028,40824.479166666664
587,United Kingdom,1977,56.203595,1816.92934,1028885.125,18306.393478922477,24.0,10.075457022958568,42870.213541666664
588,United Kingdom,1978,56.205913,1818.03747,1108630.75,19724.45052178051,24.0,10.849309129905066,46192.947916666664
589,United Kingdom,1979,56.205083,1815.493,1176186.125,20926.68602588844,24.0,11.526723609448476,49007.755208333336
590,United Kingdom,1980,56.209171,1785.396382,1201736.25,21379.718444877974,28.0,11.974774151232696,42919.15178571428
591,United Kingdom,1981,56.220735,1749.119935,1177539.875,20944.93917591081,28.0,11.974558609047476,42054.99553571428
592,United Kingdom,1982,56.241412,1745.419246,1179848.625,20978.289538676592,28.0,12.019054783974001,42137.450892857145
593,United Kingdom,1983,56.276798,1739.54848,1208748.0,21478.62072749768,28.0,12.347238938404109,43169.57142857143
594,United Kingdom,1984,56.332901,1745.752522,1221063.875,21675.85644133612,28.0,12.416339755020626,43609.424107142855
595,United Kingdom,1985,56.413553,1748.081732,1255544.25,22256.07470601967,28.0,12.731712881957895,44840.86607142857
596,United Kingdom,1986,56.522503,1742.736778,1273971.375,22539.18894922258,28.0,12.933214719373174,45498.97767857143
597,United Kingdom,1987,56.65827,1747.566738,1328565.75,23448.75249456081,28.0,13.41794392436005,47448.77678571428
598,United Kingdom,1988,56.812757,1754.725738,1395051.375,24555.248656564934,28.0,13.993781549333457,49823.263392857145
599,United Kingdom,1989,56.974297,1758.556942,1426727.625,25041.601215369097,28.0,14.239858043430418,50954.55803571428
600,United Kingdom,1990,57.134391,1745.944085,1439709.75,25198.653994579203,30.0,14.432680983926929,47990.325
601,United Kingdom,1991,57.290785,1720.546584,1403689.625,24501.14141392896,30.0,14.24032434911914,46789.65416666667
602,United Kingdom,1992,57.446037,1714.330462,1402815.25,24419.704530705923,30.0,14.244455822255537,46760.50833333333
603,United Kingdom,1993,57.602284,1710.316072,1438628.625,24975.201070152012,30.0,14.602681620682338,47954.2875
604,United Kingdom,1994,57.763378,1720.590484,1483157.5,25676.432912216456,30.0,14.923035522388984,49438.583333333336
605,United Kingdom,1995,57.932453,1722.625249,1627492.625,28092.934801155407,30.0,16.308210283962584,54249.754166666666
606,United Kingdom,1996,58.113557,1722.092499,1721674.375,29626.03674388749,30.0,17.203510706359268,57389.145833333336
607,United Kingdom,1997,58.307313,1721.195442,1834843.75,31468.501215276374,30.0,18.2829331564523,61161.458333333336
608,United Kingdom,1998,58.509974,1716.99944,1918872.875,32795.6542076057,30.0,19.100561970833084,63962.42916666667
609,United Kingdom,1999,58.715854,1708.610393,1995794.875,33990.73229863948,30.0,19.893787628763114,66526.49583333333
610,United Kingdom,2000,58.923309,1692.953954,2101197.5,35659.86933965301,32.5,21.063697128559355,64652.230769230766
611,United Kingdom,2001,59.124288,1695.976472,2147078.75,36314.66564130125,32.5,21.412246125370334,66063.96153846153
612,United Kingdom,2002,59.326294,1678.561396,2171920.5,36609.74508200361,32.5,21.810191256181856,66828.32307692307
613,United Kingdom,2003,59.561432,1669.380343,2232518.25,37482.61542805082,32.5,22.453011133874853,68692.86923076923
614,United Kingdom,2004,59.872753,1666.715738,2319942.5,38747.884200347355,32.5,23.248046032638683,71382.84615384616
615,United Kingdom,2005,60.287954,1669.737173,2369775.25,39307.607785130676,32.5,23.54119463873892,72916.16153846154
616,United Kingdom,2006,60.821356,1663.985723,2467434.75,40568.55868192087,32.5,24.380352620321652,75921.06923076924
617,United Kingdom,2007,61.455162,1665.821363,2527567.5,41128.644327713264,32.5,24.689708777443062,77771.30769230769
618,United Kingdom,2008,62.145097,1660.468805,2551335.5,41054.493808256506,32.5,24.72464022487704,78502.63076923077
619,United Kingdom,2009,62.828616,1638.331733,2424522.5,38589.46216481993,32.5,23.55411995478936,74600.69230769231
620,United Kingdom,2010,63.459808,1643.207828,2546775.25,40132.0982565847,32.5,24.4230203707286,78362.31538461539
621,United Kingdom,2011,64.021919,1639.815847,2562286.0,40022.01183629001,32.5,24.406406310506895,78839.56923076924
622,United Kingdom,2012,64.525312,1655.019025,2642660.25,40955.4044465527,32.5,24.74618347456924,81312.62307692308
623,United Kingdom,2013,64.984018,1665.974886,2705726.5,41636.799066502776,32.5,24.992453017387668,83253.12307692308
624,United Kingdom,2014,65.423047,1672.434032,2764983.0,42263.13396867621,32.5,25.270434085902533,85076.4
625,United Kingdom,2015,65.860146,1669.465155,2913114.75,44231.82951947905,32.5,26.49461079616187,89634.3
626,United Kingdom,2016,66.297944,1667.698899,2975320.75,44878.024422597475,32.5,26.91014813855644,91548.33076923077
627,United Kingdom,2017,66.727461,1668.949059,3037790.75,45525.34600409867,32.5,27.27785234582086,93470.48461538462
628,United Kingdom,2018,67.141684,1663.188884,3080494.75,45880.51068245473,32.5,27.58586900371247,94784.45384615385
